group,mean_pearson_corr
Density,-0.007349926450493782
Discourse,-0.0836256079808075
Diversity,-0.01135172451077528
LIWC,-0.01955687709306442
LinkingRate,-0.11561983408336828
Reference,0.0030618378782626813
SynonymRate,0.0013821895378377247
