group,mean_spearman_corr
Density,0.006189337980843909
Discourse,0.06404197171453818
Diversity,-0.010344158730998592
LIWC,0.008117553183017762
LinkingRate,0.08355821536985926
Reference,-0.011599845012007493
SynonymRate,0.0
