Metric,SVM,RFC,LR,NB
LVO Accuracy Mean,0.5282,0.4839,0.5323,0.5806
LVO Accuracy CI,"(0.466, 0.5905)","(0.4215, 0.5462)","(0.47, 0.5945)","(0.5191, 0.6422)"
F1-Score Mean,0.6607,0.5613,0.6597,0.6598
F1-score CI,"(0.6208, 0.7007)","(0.5416, 0.581)","(0.6266, 0.6929)","(0.6437, 0.6758)"
Best Parameters,"{'C': 1, 'gamma': 0.001, 'kernel': 'rbf', 'probability': True}","{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 20, 'min_samples_leaf': 10, 'min_samples_split': 10, 'n_estimators': 300}","{'C': 0.001, 'max_iter': 1000, 'multi_class': 'ovr', 'penalty': 'l1', 'solver': 'liblinear'}",{}
Best Train Score,0.5303,0.5458,0.5304,0.576
Best Test Score,0.52,0.54,0.52,0.52
