,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent
HES04,0.3392857142857143,0.07142857142857142,0.0341726618705036,19,0.21052631578947367,0.0
LYO13,0.20967741935483872,0.04838709677419355,0.020967741935483872,13,0.23076923076923078,0.0
AMU01,0.2558139534883721,0.06976744186046512,0.02558139534883721,11,0.2727272727272727,0.0
BRE16,0.43636363636363634,0.09090909090909091,0.04395604395604396,24,0.20833333333333334,0.0
POF01,0.37209302325581395,0.09302325581395349,0.037209302325581395,16,0.25,0.0
LYO12,0.3181818181818182,0.09090909090909091,0.031818181818181815,14,0.2857142857142857,0.0
PES10,0.3090909090909091,0.05454545454545454,0.031078610603290677,17,0.17647058823529413,0.0
AMU07,0.2553191489361702,0.0425531914893617,0.02553191489361702,12,0.16666666666666666,0.02127659574468085
OCM16,0.33962264150943394,0.05660377358490566,0.034220532319391636,18,0.16666666666666666,0.03773584905660377
BRE02,0.4375,0.10416666666666667,0.04375,21,0.23809523809523808,0.0
CFE10,0.425,0.075,0.04271356783919598,17,0.17647058823529413,0.025
HES08,0.28846153846153844,0.07692307692307693,0.028846153846153848,15,0.26666666666666666,0.0
LYO04,0.4772727272727273,0.09090909090909091,0.04794520547945205,21,0.19047619047619047,0.022727272727272728
OCM09,0.5957446808510638,0.06382978723404255,0.059574468085106386,28,0.10714285714285714,0.0
LYO01,0.5,0.10416666666666667,0.05,24,0.20833333333333334,0.0
UPL02,0.2962962962962963,0.07407407407407407,0.0297951582867784,16,0.25,0.0
UPS07,0.2727272727272727,0.06818181818181818,0.0273972602739726,12,0.25,0.0
BFC01,0.37209302325581395,0.046511627906976744,0.037209302325581395,32,0.125,0.0
UPS13,0.38461538461538464,0.057692307692307696,0.038535645472061654,20,0.15,0.019230769230769232
GRE15,0.48936170212765956,0.0851063829787234,0.04893617021276596,23,0.17391304347826086,0.02127659574468085
NOR08,0.4634146341463415,0.04878048780487805,0.046341463414634146,19,0.10526315789473684,0.04878048780487805
BRE01,0.36538461538461536,0.07692307692307693,0.03653846153846154,19,0.21052631578947367,0.019230769230769232
CVL03,0.25,0.09090909090909091,0.025,11,0.36363636363636365,0.0
LDV09,0.3898305084745763,0.0847457627118644,0.0391156462585034,23,0.21739130434782608,0.0
UPS08,0.6666666666666666,0.0784313725490196,0.06719367588932806,34,0.11764705882352941,0.0196078431372549
LYO10,0.41509433962264153,0.07547169811320754,0.041666666666666664,22,0.18181818181818182,0.0
LRE11,0.42,0.06,0.04251012145748988,21,0.14285714285714285,0.0
LYO05,0.27586206896551724,0.06896551724137931,0.02768166089965398,16,0.25,0.0
NOR02,0.18181818181818182,0.045454545454545456,0.0182648401826484,8,0.25,0.045454545454545456
UPS15,0.3125,0.10416666666666667,0.03125,15,0.3333333333333333,0.020833333333333332
OCM02,0.4318181818181818,0.06818181818181818,0.04367816091954023,19,0.15789473684210525,0.0
BFC03,0.45614035087719296,0.03508771929824561,0.04553415061295972,26,0.07692307692307693,0.03508771929824561
AMU03,0.43478260869565216,0.10869565217391304,0.043478260869565216,20,0.25,0.021739130434782608
BFC06,0.3246753246753247,0.06493506493506493,0.032467532467532464,25,0.2,0.025974025974025976
GRE11,0.4074074074074074,0.07407407407407407,0.04119850187265917,22,0.18181818181818182,0.018518518518518517
UPS14,0.4107142857142857,0.05357142857142857,0.04151624548736462,23,0.13043478260869565,0.0
CFE04,0.2777777777777778,0.05555555555555555,0.027985074626865673,15,0.2,0.018518518518518517
UPS02,0.3404255319148936,0.0851063829787234,0.03404255319148936,16,0.25,0.0
LDV01,0.2972972972972973,0.04054054054054054,0.02972972972972973,22,0.13636363636363635,0.0
LOR04,0.4583333333333333,0.0625,0.04592901878914405,22,0.13636363636363635,0.0
LOR05,0.3958333333333333,0.0625,0.0397489539748954,19,0.15789473684210525,0.0
LDV08,0.4791666666666667,0.0625,0.04801670146137787,23,0.13043478260869565,0.020833333333333332
BRE04,0.48,0.08,0.048484848484848485,24,0.16666666666666666,0.0
UPS09,0.2708333333333333,0.0625,0.027139874739039668,13,0.23076923076923078,0.0
PES01,0.325,0.05,0.03291139240506329,13,0.15384615384615385,0.0
CVL02,0.45454545454545453,0.05454545454545454,0.04570383912248629,25,0.12,0.0
LDV06,0.421875,0.078125,0.0421875,27,0.18518518518518517,0.0
GRE08,0.35185185185185186,0.05555555555555555,0.03551401869158879,19,0.15789473684210525,0.018518518518518517
NOR03,0.48333333333333334,0.08333333333333333,0.04833333333333333,29,0.1724137931034483,0.016666666666666666
BRE03,0.3225806451612903,0.03225806451612903,0.03225806451612903,20,0.1,0.016129032258064516
NOR09,0.32727272727272727,0.05454545454545454,0.03278688524590164,18,0.16666666666666666,0.01818181818181818
LYO07,0.5208333333333334,0.08333333333333333,0.052083333333333336,25,0.16,0.020833333333333332
GRE12,0.3333333333333333,0.09803921568627451,0.03346456692913386,17,0.29411764705882354,0.0
CFE05,0.2857142857142857,0.10204081632653061,0.028629856850715747,14,0.35714285714285715,0.02040816326530612
BFC10,0.31343283582089554,0.04477611940298507,0.03134328358208955,21,0.14285714285714285,0.029850746268656716
GRE05,0.4528301886792453,0.09433962264150944,0.045368620037807186,24,0.20833333333333334,0.018867924528301886
NOR01,0.37209302325581395,0.09302325581395349,0.037209302325581395,16,0.25,0.023255813953488372
BOD14,0.5882352941176471,0.0784313725490196,0.05905511811023622,30,0.13333333333333333,0.0
CFE07,0.39215686274509803,0.058823529411764705,0.0392156862745098,20,0.15,0.0
BFC09,0.43661971830985913,0.056338028169014086,0.04366197183098591,31,0.12903225806451613,0.0
OCM03,0.38,0.08,0.038,19,0.21052631578947367,0.0
UPL01,0.28205128205128205,0.07692307692307693,0.028205128205128206,11,0.2727272727272727,0.0
BOD02,0.5,0.10869565217391304,0.05,23,0.21739130434782608,0.021739130434782608
BRE10,0.45614035087719296,0.05263157894736842,0.04585537918871252,26,0.11538461538461539,0.0
CFE03,0.47058823529411764,0.09803921568627451,0.047058823529411764,24,0.20833333333333334,0.0196078431372549
GRE02,0.3488372093023256,0.06976744186046512,0.035211267605633804,15,0.2,0.023255813953488372
BOD15,0.4745762711864407,0.1016949152542373,0.047619047619047616,28,0.21428571428571427,0.01694915254237288
CFE06,0.4186046511627907,0.09302325581395349,0.04186046511627907,18,0.2222222222222222,0.023255813953488372
BFC04,0.3888888888888889,0.06944444444444445,0.03910614525139665,28,0.17857142857142858,0.027777777777777776
BOD06,0.43478260869565216,0.08695652173913043,0.043478260869565216,20,0.2,0.0
LDV07,0.2894736842105263,0.039473684210526314,0.02894736842105263,22,0.13636363636363635,0.0
GRE13,0.4716981132075472,0.07547169811320754,0.04752851711026616,25,0.16,0.0
BOD04,0.3958333333333333,0.0625,0.03958333333333333,19,0.15789473684210525,0.0
AMU05,0.4,0.06666666666666667,0.04,18,0.16666666666666666,0.044444444444444446
AMU04,0.2916666666666667,0.08333333333333333,0.029166666666666667,14,0.2857142857142857,0.0
LYO08,0.37254901960784315,0.058823529411764705,0.03740157480314961,19,0.15789473684210525,0.0
AMU08,0.37777777777777777,0.06666666666666667,0.03777777777777778,17,0.17647058823529413,0.0
PES02,0.24561403508771928,0.05263157894736842,0.02456140350877193,14,0.21428571428571427,0.017543859649122806
LRE07,0.509090909090909,0.07272727272727272,0.05090909090909091,28,0.14285714285714285,0.01818181818181818
HES02,0.43636363636363634,0.09090909090909091,0.043795620437956206,24,0.20833333333333334,0.0
POF02,0.1951219512195122,0.07317073170731707,0.019559902200488997,8,0.375,0.0
