,conjunctToSent,conjunctTypesToSent,conjunctToWords,conjunctNum,conjunctTypesToTotal,conjunctNeighborSent,synonymToNouns,synonymToVerbs,averageSynClassNOUN,averageSynClassVERB,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD,POS_numNouns,POS_numProperNouns,POS_numPronouns,POS_numConjunct,POS_numAdjectives,POS_numVerbs,POS_numAdverbs,POS_numModals,POS_numPrepositions,POS_numInterjections,POS_numPerPronouns,POS_numWhPronouns,POS_numLexicals,POS_numFunctionWords,POS_numDeterminers,POS_numVerbsVB,POS_numVerbsVBG,POS_numVerbsVBN,POS_numVerbsVBP,POS_numVerbsVBZ,POS_advVar,POS_adjVar,POS_modVar,POS_nounVar,POS_verbVar1,POS_verbVar2,POS_squaredVerbVar1,POS_correctedVV1,localNounOverlapCount,localArgumentOverlapCount,localStemOverlapCount,localContentWordOverlap,globalNounOverlapCount,globalArgumentOverlapCount,globalStemOverlapCount,globalContentWordOverlap,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
BOD09,0.4615384615384615,0.0961538461538461,0.0461538461538461,24,0.2083333333333333,0.0961538461538461,0.8533333333333334,0.7358490566037735,1.171875,1.358974358974359,0.025,0.4031128874149275,0.570087712549569,0.4101406409964348,62.81703385276733,0.2331838565022421,0.0156950672645739,0.0246636771300448,0.0493273542600896,0.100896860986547,0.1659192825112107,0.1031390134529148,0,0.1860986547085202,0.0044843049327354,0.0246636771300448,0,0.6031390134529148,0.5,0.132286995515695,0.1502242152466367,0,0.0156950672645739,0,0,0.1710037174721189,0.1672862453531598,0.3382899628252788,0.3866171003717472,1.2333333333333334,0.275092936802974,91.26666666666668,6.7552448758970485,0.0,0.1923076923076923,0.2307692307692307,1.5,0.0,2.9423076923076925,3.6538461538461537,38.07692307692308,0.1134020618556701,0.2115384615384615,0.0211538461538461,0.2115384615384615,0.0211538461538461,0.0,0.0,0.0,0.0,0.0721649484536082
LYO06,0.5098039215686274,0.0980392156862745,0.0510805500982318,26,0.1923076923076923,0.0,0.9390243902439024,0.8412698412698413,1.0649350649350648,1.1886792452830188,0.0235756385068762,0.3761034844843336,0.5318906486135235,0.3987047534434669,57.48269581056466,0.2386634844868735,0.0167064439140811,0.0238663484486873,0.0596658711217183,0.0763723150357995,0.1670644391408114,0.0859188544152744,0,0.2028639618138424,0.0,0.0238663484486873,0,0.568019093078759,0.5178997613365155,0.1455847255369928,0.1503579952267303,0,0.0167064439140811,0,0,0.1512605042016806,0.134453781512605,0.2857142857142857,0.4201680672268907,1.1111111111111112,0.2941176470588235,77.77777777777777,6.236095644623235,0.0,0.3529411764705882,0.3725490196078431,1.7450980392156863,0.0,5.15686274509804,5.705882352941177,33.27450980392157,0.1075268817204301,0.196078431372549,0.0196463654223968,0.196078431372549,0.0196463654223968,0.0,0.0,0.0,0.0,0.075268817204301
LDV02,0.3209876543209876,0.037037037037037,0.0320987654320987,26,0.1153846153846153,0.0,0.9117647058823528,0.8651685393258427,1.096774193548387,1.155844155844156,0.0160493827160493,0.3229875967499696,0.4567734398020992,0.3829977961297223,52.77272727272727,0.2326283987915408,0.0166163141993957,0.0302114803625377,0.0422960725075528,0.066465256797583,0.1767371601208459,0.1163141993957704,0,0.2114803625377643,0.0030211480362537,0.0302114803625377,0,0.5921450151057401,0.5241691842900302,0.120845921450151,0.1601208459214501,0,0.0166163141993957,0,0,0.1964285714285714,0.1122448979591836,0.3086734693877551,0.3928571428571428,1.2717391304347827,0.298469387755102,148.79347826086956,8.625354435061482,0.0,0.1358024691358024,0.1728395061728395,1.617283950617284,0.0,6.641975308641976,8.0,66.70370370370371,0.1398601398601398,0.2469135802469135,0.0246913580246913,0.2469135802469135,0.0246913580246913,0.0,0.0,0.0,0.0,0.0769230769230769
UPS06,0.3333333333333333,0.1111111111111111,0.0333333333333333,15,0.3333333333333333,0.0,0.9342105263157896,0.935483870967742,1.0704225352112675,1.0689655172413792,0.0288888888888888,0.4333333333333333,0.6128258770283411,0.4198470143357533,84.11764705882354,0.271505376344086,0.0295698924731182,0.0376344086021505,0.0403225806451612,0.075268817204301,0.1774193548387097,0.075268817204301,0,0.1720430107526881,0.0,0.0376344086021505,0,0.5994623655913979,0.4758064516129032,0.1505376344086021,0.1612903225806451,0,0.0161290322580645,0,0,0.1255605381165919,0.1255605381165919,0.2511210762331838,0.452914798206278,1.0819672131147542,0.2959641255605381,71.40983606557377,5.975359238806223,0.0,0.1555555555555555,0.2444444444444444,1.2222222222222223,0.0,2.466666666666667,4.222222222222222,27.977777777777774,0.1555555555555555,0.3111111111111111,0.0311111111111111,0.3111111111111111,0.0311111111111111,0.0,0.0,0.0,0.0,0.1222222222222222
LRE06,0.3783783783783784,0.1081081081081081,0.0381471389645776,14,0.2857142857142857,0.0,0.9591836734693876,0.8048780487804879,1.0425531914893618,1.2424242424242424,0.0326975476839237,0.4429280823153373,0.6263949011662566,0.4207882114127543,73.4,0.217391304347826,0.0133779264214046,0.040133779264214,0.040133779264214,0.0735785953177257,0.2140468227424749,0.1237458193979933,0,0.1739130434782608,0.0033444816053511,0.040133779264214,0,0.6287625418060201,0.4949832775919732,0.1137123745819397,0.1839464882943143,0,0.0301003344481605,0,0,0.1968085106382978,0.1170212765957446,0.3138297872340425,0.3457446808510638,1.3061224489795915,0.3404255319148936,83.59183673469387,6.464976285134148,0.0,0.2162162162162162,0.2702702702702703,0.972972972972973,0.0,3.2432432432432434,4.135135135135135,18.324324324324323,0.1967213114754098,0.3243243243243243,0.0326975476839237,0.3243243243243243,0.0326975476839237,0.0,0.0,0.0,0.0,0.0655737704918032
ANT01,0.3333333333333333,0.0980392156862745,0.0333333333333333,17,0.2941176470588235,0.0196078431372549,0.875,0.819672131147541,1.1428571428571428,1.22,0.0235294117647058,0.3757345746510897,0.5313689313240572,0.3985792337256818,41.10929319371728,0.2408256880733945,0.0091743119266055,0.0596330275229357,0.0458715596330275,0.0481651376146789,0.1880733944954128,0.0825688073394495,0,0.2041284403669724,0.0,0.0596330275229357,0,0.5596330275229358,0.5229357798165137,0.1307339449541284,0.1651376146788991,0,0.0229357798165137,0,0,0.1475409836065573,0.0860655737704918,0.2336065573770492,0.430327868852459,1.2058823529411764,0.3360655737704918,98.88235294117646,7.031441990842862,0.0,0.3333333333333333,0.3725490196078431,2.0588235294117645,0.0,4.823529411764706,6.2745098039215685,40.96078431372549,0.2574257425742574,0.5098039215686274,0.0509803921568627,0.5098039215686274,0.0509803921568627,0.0,0.0,0.0,0.0,0.0396039603960396
UPS12,0.2884615384615384,0.0769230769230769,0.0290135396518375,15,0.2666666666666666,0.0,0.8850574712643678,0.8333333333333334,1.12987012987013,1.2,0.0212765957446808,0.3420837274641176,0.4837794468468967,0.38378342161857,73.88824714977589,0.2623318385650224,0.0112107623318385,0.0291479820627802,0.0381165919282511,0.0582959641255605,0.1748878923766816,0.0964125560538116,0,0.1614349775784753,0.0022421524663677,0.0291479820627802,0,0.5919282511210763,0.5044843049327354,0.1771300448430493,0.1547085201793722,0,0.0201793721973094,0,0,0.1628787878787878,0.0984848484848484,0.2613636363636363,0.4431818181818182,1.0985915492957747,0.2954545454545454,85.69014084507042,6.545614594714175,0.0,0.1538461538461538,0.2115384615384615,1.4615384615384617,0.0,2.3846153846153846,3.576923076923077,40.15384615384615,0.1160714285714285,0.25,0.0251450676982591,0.25,0.0251450676982591,0.0,0.0,0.0,0.0,0.0446428571428571
BOD12,0.3272727272727272,0.0363636363636363,0.0327272727272727,18,0.1111111111111111,0.0181818181818181,0.974025974025974,0.8235294117647058,1.0266666666666666,1.2142857142857142,0.0218181818181818,0.3618136134933163,0.511681719253465,0.3938096406672347,46.32963988919668,0.2729257641921397,0.0109170305676855,0.0131004366812227,0.0436681222707423,0.0851528384279476,0.1419213973799126,0.0982532751091703,0,0.1921397379912663,0.0021834061135371,0.0131004366812227,0,0.5982532751091703,0.5,0.1506550218340611,0.1004366812227074,0,0.0414847161572052,0,0,0.1642335766423357,0.1423357664233576,0.3065693430656934,0.4562043795620438,1.1403508771929824,0.2372262773722627,74.12280701754386,6.087807775281011,0.0,0.1272727272727272,0.1636363636363636,1.945454545454545,0.0,3.727272727272727,4.927272727272728,49.054545454545455,0.05,0.109090909090909,0.0109090909090909,0.109090909090909,0.0109090909090909,0.0,0.0,0.0,0.0,0.0416666666666666
OCM08,0.5714285714285714,0.0952380952380952,0.0574162679425837,24,0.1666666666666666,0.0,0.8987341772151899,0.8604651162790697,1.1126760563380282,1.162162162162162,0.0287081339712918,0.4150286783196448,0.5869391856534222,0.4117163937241236,66.65340253748559,0.2434782608695652,0.0115942028985507,0.0463768115942029,0.072463768115942,0.1072463768115942,0.136231884057971,0.0985507246376811,0,0.2115942028985507,0.0,0.0463768115942029,0,0.5855072463768116,0.5130434782608696,0.0840579710144927,0.1130434782608695,0,0.0231884057971014,0,0,0.1683168316831683,0.1831683168316831,0.3514851485148514,0.4158415841584158,1.0217391304347827,0.2326732673267326,48.02173913043478,4.900088730341257,0.0,0.0952380952380952,0.0952380952380952,1.3095238095238095,0.0,2.571428571428572,2.7142857142857144,28.357142857142858,0.2,0.3809523809523809,0.0382775119617224,0.3809523809523809,0.0382775119617224,0.0,0.0,0.0,0.0,0.05
UPS10,0.3214285714285714,0.0714285714285714,0.0324324324324324,18,0.2222222222222222,0.0178571428571428,0.9411764705882352,0.9454545454545454,1.0625,1.0576923076923077,0.0216216216216216,0.3601801351125985,0.5093716319736106,0.3932456383791959,37.28143328445748,0.2394678492239468,0.0044345898004434,0.0354767184035476,0.0421286031042128,0.0620842572062084,0.1463414634146341,0.106430155210643,0,0.1973392461197339,0.0022172949002217,0.0354767184035476,0,0.5543237250554324,0.5521064301552107,0.1685144124168514,0.130820399113082,0,0.0155210643015521,0,0,0.192,0.112,0.304,0.432,1.1785714285714286,0.264,77.78571428571429,6.236413804652249,0.0,0.3392857142857143,0.4107142857142857,1.7321428571428572,0.0,5.821428571428571,7.303571428571429,46.0,0.1509433962264151,0.2857142857142857,0.0288288288288288,0.2857142857142857,0.0288288288288288,0.0,0.0,0.0,0.0,0.0188679245283018
