ID,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm
SOU06,22.616732,0.631389,13.954392,0.95577794,8.392083,1.633408,-4.6355686,-3.8547332,29.540026,0.39830202,12.612008,1.1891778,7.070608,2.2471576,-12.022903,-1.4349643
LOR06,22.01223,0.6966549,11.650427,1.181835,12.689014,1.107372,-6.3667393,-2.191838,26.169304,0.52934825,12.359965,1.1233282,11.97917,1.2868035,-8.6181965,-1.7253532
NOR10,13.091856,0.94402814,12.065167,0.9566281,7.808431,1.5874206,2.674225,5.332452,17.164362,0.58632755,12.741157,0.86516416,9.2213745,1.4028914,2.3055935,6.5978994
UPS10,17.157331,0.91504925,12.246359,1.4387896,8.198157,1.752971,-6.930304,-2.0474515,24.131662,0.48826528,9.931786,1.6977696,7.573015,2.0495434,-10.60471,-1.3356261
HES03,2.6839175,5.0532336,0.055021577,212.60823,1.2708144,10.337571,-1.8694456,-7.0091825,9.51077,1.3942956,-4.145451,-3.0528693,-2.029175,-7.4281693,-5.3534317,-2.9618611
LOR01,22.681572,0.58690786,12.529968,1.0634009,16.694279,0.8430761,-4.542935,-2.5978222,26.138577,0.43971854,13.819079,0.9334458,16.635632,0.9119996,-5.847777,-2.0841515
BOD13,18.13012,0.76946175,16.124077,0.7944465,20.121632,0.6887092,-3.8590293,-3.8773615,22.94107,0.5115322,16.3572,0.7362282,21.750679,0.68668526,-5.787665,-2.7893069
NOR09,21.166243,0.6849933,12.674064,0.98277014,7.7013817,1.719561,-7.7544456,-1.9293147,24.171494,0.5261776,12.054402,1.0151792,7.8471274,1.6820495,-9.134695,-1.654801
OCM03,10.564987,1.2277012,33.868023,0.37798032,10.2414465,1.2232077,-18.72202,-0.73292905,16.514606,0.64744395,34.28205,0.3576904,8.972868,1.5017287,-23.029423,-0.57524145
PES10,10.318872,1.7291337,7.968303,1.5996162,8.564225,1.9753515,1.3476441,10.678737,21.158682,0.6911895,9.26664,1.3228265,13.635417,1.375562,-0.720664,-22.953985
CFE04,28.436459,0.40883318,17.467607,0.65769005,6.1592765,2.1975975,-1.6302775,-6.8272004,30.588425,0.35328716,18.491425,0.5982026,6.0926514,2.3599966,-2.606763,-4.3489733
SOU04,20.990067,0.6514065,14.235931,0.91028166,8.697533,1.5158883,2.6667006,5.447158,28.855,0.41272822,12.807594,1.2312673,7.4472666,2.1388814,-3.5249264,-4.3558483
UCA05,15.106514,1.4115134,-5.914688,-3.5506933,-4.349015,-4.8820305,-21.197287,-0.9019769,21.138695,0.8828137,-8.233119,-2.6466525,-2.860316,-7.619551,-24.540253,-0.7820948
BOD09,14.013305,0.9031408,10.071941,1.3520135,17.585129,0.8560431,-16.563913,-1.089486,17.6781,0.6470857,8.683691,1.654423,18.152409,0.9221983,-21.507471,-0.83209157
OCM13,9.009612,1.6667511,29.28784,0.46498173,15.493063,0.9695726,-3.1633337,-4.250579,16.50244,0.7415721,30.881186,0.43086165,14.22636,1.2733943,-6.323045,-2.4021072
LRE07,13.431247,0.8050689,3.158637,4.2820315,13.447467,1.1301646,0.9493443,14.584953,15.506698,0.6339073,1.5576446,8.848478,14.035277,1.1483364,-0.43807882,-32.89142
POF05,16.284653,0.82333684,4.5056615,3.5160215,3.389193,4.5699496,-12.6703415,-1.3714894,21.849014,0.47095472,3.7198248,4.402358,3.8086836,4.541655,-17.539375,-0.9858127
BOD10,17.888441,0.7623883,17.364279,0.7470039,12.81962,1.0460578,-9.023882,-1.6252769,22.58088,0.53086793,17.960958,0.70830435,13.843782,1.0537833,-13.013593,-1.1260546
LDV10,22.526129,0.63453496,3.6318274,3.3247743,15.677842,1.0619912,0.47827178,27.755033,28.465204,0.3811269,3.9716828,3.118928,19.499523,0.87871474,0.74701595,19.753477
OCM18,7.3637514,1.967751,23.424042,0.56805813,4.943925,3.049759,-9.257649,-1.8280181,12.105879,1.0971391,23.897354,0.5807186,5.016543,3.3684783,-13.318047,-1.3361104
SPC10,16.515602,0.9254201,2.6527553,5.4853654,25.540554,0.63184553,1.5746332,9.683694,21.760736,0.60464495,1.7037574,8.858517,29.149143,0.5763146,-0.7253608,-23.48832
LDV05,20.243597,0.7305249,3.402861,4.0682826,-1.5661701,-9.988321,-10.312467,-1.6093779,25.888786,0.47022834,2.7085912,5.392461,-2.3711746,-7.358741,-14.593961,-1.1672313
NOR03,17.342068,0.7412318,7.40632,1.8343353,-1.1456885,-12.059421,-5.2675076,-2.6552026,20.85857,0.5337749,6.3924417,2.1255465,-1.9035827,-7.412218,-7.965929,-1.7262679
CFE10,23.156096,0.5806665,22.47381,0.5312824,9.938668,1.4185354,-0.52784604,-23.131336,25.968414,0.46144193,24.37555,0.42580515,10.477916,1.4177358,-1.2573444,-10.17136
PES06,7.203005,2.4142208,11.999433,1.0248736,7.530056,1.8220834,-5.405949,-2.5700736,13.065332,1.3303516,12.963266,0.95841664,10.487389,1.4377176,-7.359794,-2.1476219
ANT02,14.119704,0.70153224,-19.273857,-0.819928,-3.0528858,-4.849098,-30.252977,-0.55960995,16.016973,0.5550681,-21.48191,-0.72418153,-3.5035439,-4.329137,-33.468067,-0.47335082
LDV03,18.632254,0.7780106,1.5655288,9.170747,0.88268274,15.452388,-7.6213503,-1.7793069,24.929487,0.5109696,1.4294382,10.901855,1.3313475,11.720976,-11.696775,-1.2220708
LOR07,21.208925,0.5935885,7.2823157,1.9377205,18.151794,0.8409076,-8.864904,-1.767452,24.595016,0.46533304,7.23693,1.9796154,18.194078,0.92377865,-12.15904,-1.3124874
