ID,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,equivalentSoundLevel_dBp,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength
UCA06,0.51615995,0.9071271,0.05434536,0.40903813,0.91812706,0.8637817,11.729699,7.3046556,9.854106,5.8512554,-30.717812,3.652439,1.9213175,0.30307934,0.27022925,0.23601532,0.40535703
POF02,0.5370707,0.9499682,0.09444407,0.3339622,0.9813372,0.88689315,14.312677,8.883216,13.182961,8.8263,-28.441639,3.6045198,2.435854,0.21974477,0.20604937,0.18611254,0.29530305
SOU13,0.65878296,0.82670367,0.12568425,0.5382857,1.128093,1.0024087,15.333087,9.086772,11.992389,7.0410724,-24.25977,4.1224513,2.6675558,0.22570832,0.20308435,0.14345795,0.22330607
LYO09,1.286339,0.93694425,0.21588336,0.93084073,2.261435,2.0455518,30.007944,19.240194,24.233322,15.413053,-23.349434,3.7486033,2.917016,0.2166475,0.19852352,0.114411764,0.17761345
OCM15,0.7043041,0.8558071,0.12523797,0.5911362,1.1746484,1.0494105,14.444604,10.283271,13.152109,10.3496065,-25.404064,3.2914286,2.4579856,0.24348836,0.22381765,0.1559335,0.24829452
OCM19,0.4236184,0.9145074,0.07742315,0.34421578,0.6970052,0.61958206,9.333176,6.553497,8.2260275,6.3270206,-32.95981,2.8815188,2.4532247,0.20449308,0.19113377,0.19749999,0.2705268
LYO02,1.0161359,0.73905796,0.23227978,0.9451766,1.7047954,1.4725156,20.376474,12.263713,15.832291,10.727863,-24.260689,4.126674,2.8458087,0.20753536,0.18502197,0.13891955,0.18897432
ANT01,1.3624287,0.5917152,0.4454928,1.4315226,2.113565,1.6680722,16.595419,9.337574,12.92091,7.394736,-19.731049,4.15,1.6671298,0.49636665,0.62927985,0.097016126,0.12286549
LRE09,0.9995687,0.83139604,0.29059684,0.8084504,1.5032179,1.2126211,19.229456,13.697393,17.99061,15.567351,-25.875612,2.1137567,2.0462685,0.39052776,0.55241084,0.09589473,0.12104369
BOD12,0.45051637,0.81290275,0.119723774,0.36213496,0.7308902,0.6111664,9.242836,5.4960265,7.8002625,4.5555897,-34.817043,3.6462076,2.2380638,0.28461727,0.26813602,0.16164772,0.188208
BFC01,0.83138543,0.9199068,0.17007199,0.63485837,1.3544383,1.1843663,17.648687,12.679405,18.53043,14.045824,-25.865578,3.1931818,2.4325092,0.22233644,0.18581003,0.17814356,0.26213014
UPS09,0.9156299,0.8680453,0.1672886,0.7430712,1.563612,1.3963234,19.639477,11.628565,16.113615,10.505458,-23.73283,3.5542169,2.4767988,0.25571775,0.22026773,0.14508426,0.20621723
OCM11,0.64068115,0.89358544,0.09958688,0.52862066,1.1033405,1.0037537,12.76032,8.509858,9.68555,7.221211,-24.07484,2.89459,2.3800647,0.23882507,0.2379194,0.1800294,0.29352775
CFE06,1.3892825,0.663746,0.4337015,1.3059168,2.166929,1.7332275,23.308704,14.414728,16.577566,10.123105,-18.89519,3.5639534,2.2855482,0.3060051,0.3759217,0.13270769,0.16588803
UCA14,1.5285434,0.6716439,0.5573761,1.309424,2.3775086,1.8201325,27.23296,15.6284075,22.437243,13.307748,-18.527376,4.1647725,2.364308,0.25920674,0.23993604,0.16536312,0.21278344
SOU16,0.3957649,0.795846,0.11779524,0.28932315,0.65034413,0.5325489,8.340917,4.9955254,7.4174604,4.642378,-31.805397,3.8757396,2.7524564,0.20509678,0.17199284,0.14869767,0.17290449
LRE01,0.92651457,0.70874995,0.42834842,0.75971556,1.29134,0.8629916,16.354002,11.053542,11.59854,10.281579,-28.391512,2.4115665,2.3439286,0.3167317,0.36803314,0.11,0.16191703
OCM05,0.5977655,0.776537,0.10535927,0.56983614,0.99346125,0.888102,11.932688,6.354608,10.806275,6.6320615,-28.480953,4.3965516,2.9262965,0.18365423,0.15764102,0.15520088,0.2360263
GRE03,0.75452745,0.7820609,0.17365775,0.6467222,1.257734,1.0840762,15.069501,9.8338995,11.683541,7.9476414,-24.905529,3.436464,2.1930554,0.26353535,0.23782398,0.1908169,0.29483646
BFC10,1.1473627,0.83545136,0.2583168,0.9285803,1.8871875,1.6288707,24.548664,16.243422,20.71682,15.984729,-22.437292,3.427159,3.0796897,0.1604927,0.15243022,0.15377691,0.19384377
OCM16,0.8081026,0.8683984,0.17252678,0.6289085,1.3527675,1.1802406,14.584383,8.798639,14.0456505,10.189458,-27.327885,3.2047276,2.3530748,0.25983092,0.25811133,0.16524999,0.26034564
OCM09,0.816494,0.9663028,0.10660203,0.62283504,1.4402465,1.3336444,17.579008,10.44654,16.995222,12.215234,-23.932959,3.0635839,2.457926,0.23548235,0.20297159,0.15832917,0.22318031
