ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
GRE13,0.034719683,1.6968725,1.5297312,0.688276,2.1741853,2.0399017,14.658531,0.68310624,5.080058
LYO07,0.03589973,2.2891862,1.1365362,0.9489554,7.2422657,0.7982444,19.795929,0.58028764,8.622271
LRE04,0.047124315,1.7896063,1.3843706,0.5474775,3.2664495,1.5345584,17.928722,0.44699696,10.165103
BRE13,0.050384674,2.0241706,1.3471172,0.8384695,5.4360986,0.9076188,23.80549,0.42563015,11.767647
CVL03,0.047842618,1.8673642,1.3386046,0.66417706,5.233473,1.0901008,22.615671,0.37080073,10.45742
UCA09,0.04325046,1.7040862,1.4562781,0.76471335,4.800631,1.0729592,22.860048,0.5035164,8.282272
POF04,0.040839583,1.9848666,1.5479616,0.74853367,3.4250824,1.2799983,28.094854,0.34910133,14.064168
BRE01,0.059866905,1.9693474,1.4071625,0.83454174,5.191565,1.149734,24.753689,0.3627716,14.32275
NOR06,0.06531741,1.6060392,1.2771593,0.62684095,3.5556684,1.3901094,23.093231,0.31637412,13.250116
UCA02,0.05294849,1.9206777,1.292971,0.8106435,6.3448443,0.9525253,22.879915,0.6846123,6.251856
UCA03,0.044852603,1.7110654,1.3030154,0.767536,6.190752,1.0221208,18.770933,0.7223332,4.127367
OCM01,0.026900971,1.8086203,1.0318356,0.7989902,8.396152,0.62913424,22.438148,0.4198614,8.56453
BFC08,0.041388657,1.951435,1.5956957,0.7060499,3.496398,1.2539887,17.492151,0.43745285,7.090548
GRE14,0.03575214,1.6434475,1.5270474,0.6756558,2.5764263,1.7804192,17.433558,0.5176305,7.839888
PES09,0.038606048,1.7214311,1.5766269,0.72472304,3.5416107,1.2078719,22.413969,0.39670584,6.7436066
SPC01,0.037059236,2.1447423,1.0737565,0.95950913,8.368531,0.59273875,25.194874,0.38757986,16.093647
