ID,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,hammarbergIndexUV_sma3nz_amean
BFC01,0.04075991,1.7749821,1.3885268,0.743049,4.4390087,0.93333685,18.404243,0.44440818,9.193667
UPS09,0.038936727,2.1694586,1.126935,0.9119649,8.808093,0.62971216,23.010216,0.44491762,12.154428
OCM11,0.03571771,2.1546583,1.2186233,0.89853615,5.0684667,1.0120174,25.91728,0.4352914,10.629237
CFE06,0.07207696,1.7086571,1.4823391,0.5751915,3.638137,1.4746536,26.605385,0.28753698,17.931847
UCA14,0.033547662,1.3981993,1.2819184,0.69355595,4.6224008,0.93820006,21.555988,0.4320782,7.1580505
SOU16,0.032808304,1.8596483,1.155922,0.9250776,10.031858,0.43303698,31.137415,0.26642722,32.976612
LRE01,0.05000164,1.7847697,1.2959906,0.564533,3.7680852,1.363994,15.513441,0.46900305,9.4015875
OCM05,0.03694489,2.2417204,1.2565193,0.90255445,6.674735,0.77357745,22.885698,0.42841667,12.328583
GRE03,0.045774635,2.0580103,1.2468663,0.8300968,6.8611608,0.8951684,26.196522,0.34930265,10.450328
BFC10,0.0457398,1.8571625,1.2830399,0.7811551,4.9619236,1.2468318,18.17243,0.5555483,7.06289
OCM16,0.03943319,1.9591899,1.2662067,0.7842074,3.8019009,1.1320475,15.785744,0.4975849,8.116647
OCM09,0.04598027,2.1185873,1.3881646,0.8758742,4.7010493,1.1153176,21.667433,0.43708485,11.163204
LYO13,0.046750233,1.6130153,1.626451,0.72948784,3.495753,1.3253762,16.547215,0.6461784,6.2427607
BOD11,0.07331056,1.7030448,1.5938023,0.6984089,3.0841234,1.757433,22.914389,0.3743141,12.670198
BRE03,0.047087107,2.0387452,1.2824732,0.7459954,6.988998,0.7595705,23.435183,0.37916145,9.983252
SOU11,0.04597665,2.2391434,1.4616398,0.8343062,5.263484,0.84279007,26.65908,0.29591358,32.71449
CFE01,0.0878593,1.6316065,1.6808509,0.5934906,1.1198059,4.1394243,31.316118,0.25037476,18.895407
LYO05,0.04218606,1.452663,1.7332106,0.6898475,2.0160708,2.2811193,12.795,0.8263542,4.1766496
LOR08,0.050096944,1.8820399,1.1971219,0.781085,7.354767,0.7618195,24.32756,0.4092268,8.767219
UCA12,0.036008533,1.6555043,1.2844133,0.75431997,6.9684134,0.8437193,17.589563,0.66771555,5.504629
ALS01,0.047525194,2.0420327,1.2460126,0.9109644,7.5815387,0.8394901,25.67471,0.3917851,13.012143
GRE08,0.035358544,1.8816715,1.3107748,0.7371013,5.077781,0.8991378,20.232615,0.46183163,8.854522
LYO03,0.039750703,2.0392938,1.6485958,0.7382104,3.2522132,1.2539302,22.061268,0.3838888,8.249455
SPC07,0.029926853,2.2497435,0.98082733,0.90186256,9.49113,0.5024428,22.80679,0.42244864,15.951313
SOU02,0.0321459,2.2164938,1.1205099,0.93030924,9.23596,0.47902352,31.53604,0.26505223,32.55551
OCM07,0.038925745,1.8858935,1.1460814,0.9054104,7.9030952,0.69755834,22.617104,0.5097185,10.545302
