ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm
LYO12,27.869833,0.23913427,22.523169,26.903961,32.70004,10.17687,315.513,634.0193,196.08162,372.15,646.845,0.4649282,1056.764,0.26519692,-97.160286,-0.9425075,1691.347,0.22589731,730.60394,0.40753105,-95.77355,-0.9044325,2732.143,0.13848142,658.203,0.46832335,-97.390335,-0.8704,-9.94116,-0.8371962,-0.33444554,5.3164363,1.8656592,19.382328,0.53923106
BRE14,35.7519,0.18432982,32.643425,36.592262,40.86278,8.219357,292.73627,519.411,191.11798,330.54062,648.8656,0.3090153,1270.6403,0.19710438,-85.85004,-1.0243261,1734.8954,0.1683721,904.32776,0.43758735,-86.29764,-0.9060448,2778.545,0.09961735,760.24884,0.4840164,-89.35104,-0.84844035,-18.901642,-0.4821283,-7.636411,10.723645,1.1049246,26.900234,0.42521858
HES07,30.174692,0.17331924,26.216858,29.821768,34.417267,8.200409,202.23537,415.24786,116.05278,183.44377,510.94418,0.43287462,1189.2203,0.18549751,-85.54294,-1.0921161,1537.6455,0.18628515,819.93866,0.36987767,-85.217926,-1.0104867,2584.9988,0.10210542,764.2664,0.4334831,-87.64183,-0.958343,-10.5550165,-0.60114986,-2.5809314,4.3165617,2.102825,19.677483,0.43595937
UCA13,33.39328,0.23566261,27.861816,32.10743,37.275417,9.413601,301.64615,552.2378,148.10382,278.47946,568.38025,0.45532635,1144.6202,0.2625367,-58.72529,-1.4652114,1642.2925,0.19084372,803.7602,0.47669476,-60.65859,-1.2316898,2703.2852,0.10409801,789.765,0.5461347,-62.42842,-1.1652517,-11.034414,-1.026994,1.133219,7.627196,1.4680423,21.868765,0.6111339
ALS03,28.346712,0.18387443,24.82724,28.009321,32.453674,7.6264343,204.37279,270.03915,107.81103,159.79462,479.93454,0.44996628,1154.36,0.19392782,-70.47993,-1.2710072,1511.4635,0.19020452,770.7598,0.3863318,-76.68558,-1.0420341,2529.5432,0.12447965,685.1194,0.4051025,-78.77419,-0.9954529,-15.52348,-0.4303495,-4.995546,5.417129,1.761743,24.363464,0.38207766
CFE08,31.987925,0.2843168,21.031963,34.543533,39.384552,18.352589,290.9355,371.33786,151.02866,183.9731,581.0576,0.36096317,1306.6228,0.16955031,-64.8158,-1.2150221,1687.4014,0.1716629,982.83887,0.38681892,-68.20823,-0.9820979,2737.075,0.1085618,872.7512,0.45660362,-71.829056,-0.9043629,-21.898657,-0.3284512,-9.786946,9.749089,1.8986458,25.976665,0.59377027
BRE15,35.494637,0.16349298,32.776142,36.08313,39.59537,6.819229,264.0179,465.79684,111.16902,130.47923,587.0547,0.35997218,1266.3313,0.18623343,-79.24108,-1.1124297,1650.0315,0.17739391,911.0866,0.3999396,-77.36424,-0.9920582,2709.878,0.096896514,797.6235,0.5025838,-80.82037,-0.9182572,-16.536247,-0.48069137,-6.082359,8.456085,1.3571444,24.164736,0.47026137
GRE12,27.442993,0.23051356,24.057547,27.063477,30.760723,6.7031765,309.93207,456.50244,148.24982,190.80975,609.97943,0.4462794,1086.2389,0.22478198,-89.989334,-1.0051692,1744.2543,0.18568093,648.49945,0.54864424,-93.30732,-0.88934404,2716.6072,0.124633625,688.9488,0.3924048,-91.242294,-0.9238402,-11.416474,-0.6117495,-5.5330567,6.131033,2.3681355,16.937702,0.6036035
UPS08,34.58617,0.1876172,32.959908,35.519176,38.373886,5.4139786,286.20132,429.55676,204.68918,450.43845,575.48114,0.3889724,1207.9,0.20814565,-88.482376,-1.0059489,1714.915,0.18070275,842.55725,0.540014,-87.42344,-0.8906977,2758.144,0.103945084,782.43085,0.56694686,-89.07367,-0.8587218,-17.356756,-0.4798253,-3.5486917,9.74404,1.5122467,22.931787,0.57130456
GRE10,39.929527,0.18345912,35.727676,39.702774,44.642853,8.915176,246.26129,465.68622,170.19165,257.89624,632.88086,0.41688687,1151.053,0.24915789,-94.42486,-0.9689769,1747.7114,0.19725424,818.7106,0.54337245,-79.78126,-0.9982878,2860.105,0.12489121,733.30035,0.6919778,-80.80955,-0.9672954,-10.705171,-0.89721733,-2.797337,7.766446,1.443369,19.195356,0.67417544
