ID,Segment,WC,WPS,BigWords,emopos,emoneg,anxiete,colère,tristesse,cognition,perspicacite,cause,divergence,tentative,certitude,inhibition,inclusion,exclusion,perception,remplisseur
UPS13,1,554,20.52,19.31,4.15,2.35,0.18,0.36,0.18,19.68,2.17,5.6,1.62,1.81,0.9,1.08,9.39,3.25,2.35,0
CFE03,1,535,13.72,21.12,3.36,1.31,0.56,0,0.56,20.19,2.24,2.06,2.62,1.68,2.8,0.37,10.09,4.11,1.87,0
HES05,1,463,14.94,23.97,2.81,0.43,0,0,0,22.68,7.13,4.1,1.3,1.08,2.16,0.86,11.23,3.24,3.02,0
PES03,1,491,22.32,28.31,1.43,0.61,0,0.2,0.2,18.33,2.44,2.85,1.63,1.83,2.04,0.61,9.98,1.63,1.83,0
SPC12,1,574,19.13,25.44,1.74,1.57,0,0.17,0.52,16.9,4.18,1.92,1.22,1.22,0.87,0.52,9.93,2.09,1.22,0
SPC07,1,550,14.86,21.27,5.27,1.45,0.18,0.73,0.55,19.45,3.64,4,1.09,2.91,2.73,0.73,9.64,3.27,4.36,0
ALS06,1,697,18.84,20.09,3.44,1.29,0.14,0.43,0.14,20.37,1.15,2.87,2.3,2.01,2.01,0.43,11.19,4.3,1.87,0
LDV01,1,547,16.09,21.02,3.47,1.28,0.55,0.18,0.18,18.1,3.11,2.01,0.73,1.1,1.46,0.18,12.43,1.65,2.74,0
BOD11,1,495,17.68,18.38,4.65,0.81,0,0.2,0,18.79,3.64,2.22,2.42,2.02,1.62,1.82,10.3,2.63,3.43,0
BOD04,1,519,20.76,21.19,3.66,1.35,0,0.96,0.19,20.04,3.85,2.12,2.7,2.5,3.08,0.58,9.06,3.85,1.73,0
CFE09,1,558,16.41,23.66,1.97,2.15,0.36,0.9,0.18,17.92,1.43,2.15,2.87,2.33,1.25,1.08,9.68,2.87,1.25,0
GRE09,1,562,19.38,24.91,3.91,1.42,0,0,0.71,25.98,3.91,5.34,1.78,2.14,3.2,0.53,11.92,5.87,2.49,0
UCA09,1,265,17.67,33.96,0,0,0,0,0,0.75,0,0.75,0,0,0,0,0,0,0,0
BRE01,1,567,16.68,19.75,1.76,1.06,0,0.71,0.18,17.64,2.65,2.29,1.41,1.41,1.76,0.35,10.23,2.82,1.23,0
UCA06,1,776,40.84,0.26,2.06,0,0,0,0,1.03,0.13,0.13,0.13,0,0,0,0.52,0.39,0,0
UCA13,1,134,7.88,31.34,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPS02,1,462,17.11,24.03,2.6,2.6,0,0,0.87,19.91,4.11,3.9,0.43,1.95,2.81,0.65,11.47,1.3,1.3,0
LDV06,1,505,10.31,17.23,2.18,0.2,0.2,0,0,19.8,2.38,3.76,2.38,2.77,1.58,1.39,9.5,3.96,1.19,0
GRE11,1,585,12.72,26.15,4.62,2.56,1.2,0.17,0.51,19.83,2.56,1.88,1.03,2.22,1.54,0.34,9.74,4.27,1.54,0
CFE11,1,520,17.33,24.04,4.62,1.35,0.19,0.38,0.58,16.35,2.69,1.92,1.15,1.92,1.35,0.58,9.81,3.08,1.15,0
SPC08,1,477,11.93,26.83,2.31,0.63,0,0.21,0,19.92,2.1,2.52,1.05,3.14,1.89,0.84,10.69,2.52,2.31,0
ALS09,1,502,14.34,24.3,3.78,0.8,0,0.2,0.4,19.72,4.78,2.79,1.79,2.99,2.59,0.8,7.77,3.19,2.19,0
GRE10,1,594,15.63,21.21,3.2,1.35,0.34,0.67,0.17,19.87,2.36,4.88,1.52,2.02,2.69,2.19,9.76,3.87,2.19,0
ALS01,1,623,15.57,22.79,2.41,1.12,0.16,0.16,0,18.14,1.44,3.21,1.12,2.89,1.44,0.32,9.95,3.53,2.25,0
HES06,1,388,16.87,26.8,1.8,1.55,0.26,0.52,0.26,21.13,4.64,2.32,1.29,0.52,1.29,0.77,12.11,1.8,3.87,0
CFE05,1,527,17,20.49,2.85,0.38,0,0,0,19.17,0.95,3.42,0.76,2.85,2.09,0.76,11.01,3.04,2.09,0
PES05,1,436,13.21,25.23,3.44,1.38,0.23,0.23,0.23,20.64,2.52,1.15,2.75,2.75,2.52,0.23,8.94,3.44,2.29,0
BOD03,1,450,15.52,18.44,2.89,0,0,0,0,16.89,3.11,2.67,1.11,0.89,1.11,0,10.44,2,2.89,0
BOD16,1,540,10.59,27.04,2.59,0.56,0,0.37,0,22.22,3.33,2.96,2.22,1.48,1.3,0.56,10.93,3.33,3.89,0
NOR12,1,627,17.42,20.73,3.99,0.32,0.16,0.16,0,15.63,2.39,2.55,1.91,1.75,0.8,0.16,8.93,2.71,2.07,0
GRE15,1,494,15.44,22.67,4.25,1.01,0,0,0.4,26.11,4.25,2.83,2.43,3.44,2.83,1.01,12.15,3.44,4.86,0
NOR11,1,635,20.48,20.31,2.36,1.26,0,0.47,0.16,22.68,4.09,2.52,1.89,2.2,2.36,0.47,12.13,1.89,3.78,0
LDV10,1,547,17.65,25.23,4.02,0.73,0,0,0.37,19.01,3.47,2.74,1.46,2.19,0.55,1.46,10.97,2.74,1.46,0
OCM17,1,511,13.1,22.7,1.76,1.37,0.39,0.39,0,11.94,2.15,2.54,1.17,1.37,1.17,0.2,7.24,1.17,2.74,0
OCM18,1,530,18.28,25.85,2.08,0.94,0.19,0.38,0.38,21.7,3.02,4.34,2.08,2.64,1.89,1.13,9.06,3.58,1.7,0
GRE06,1,450,13.64,26.44,1.33,2.67,0.22,0.22,2,17.56,0.89,2.22,2.67,3.11,1.11,0.22,10,3.11,2,0
LDV05,1,583,14.22,18.87,2.4,1.03,0,0.34,0.34,17.67,2.23,2.92,1.89,2.23,1.72,0.86,9.78,3.95,1.72,0
UCA04,1,672,336,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCA11,1,630,11.25,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRE11,1,527,15.97,22.01,1.33,0.38,0,0,0.19,18.98,2.47,2.28,1.33,1.71,2.85,0.95,11.76,1.9,1.9,0
BOD09,1,554,17.87,27.98,3.61,0.9,0,0,0.36,23.1,2.53,4.87,1.99,2.35,1.81,1.44,11.91,3.07,1.62,0
UPS08,1,555,15.86,17.84,4.68,0.72,0,0.18,0.18,22.34,1.98,2.52,2.7,3.96,1.98,0.36,11.89,5.59,4.32,0
BFC07,1,396,19.8,25.51,2.02,0.51,0,0,0.25,15.15,2.53,3.54,1.77,0.51,1.01,0.25,9.09,1.52,3.54,0
CFE07,1,547,20.26,22.85,3.84,0.37,0,0.18,0.18,18.65,5.12,2.19,2.01,1.1,1.46,0.18,10.79,2.19,0.91,0
GRE05,1,563,25.59,20.6,2.49,1.78,0.18,0.53,0,20.96,3.73,2.49,1.6,2.13,1.07,0.89,12.79,2.84,1.95,0
BOD01,1,574,15.94,24.22,2.09,1.57,0.35,0.35,0.7,16.9,2.61,2.09,1.57,1.92,0.52,0.87,8.89,2.26,2.09,0
