ID,TTR,CorrectedTTR,RootTTR,BilogTTR,MTLD
POF01,0.0252631578947368,0.38933141071383,0.550597761289348,0.403176980049977,39.5833333333333
POF05,0.0277777777777778,0.424918292799399,0.600925212577332,0.417168835230811,45.6640776699029
POF02,0.0291479820627803,0.435272194618576,0.615567840953492,0.420461516460902,31.6071652766568
POF03,0.0201550387596899,0.361949930153308,0.511874500122803,0.396483244867229,35.7094414893617
POF04,0.0223752151462995,0.381364521751757,0.539330878869265,0.402992898771451,46.1525779376499
UPS04,0.0297872340425532,0.45662965113741,0.64577184562022,0.42892442440849,45.6176470588235
UPS11,0.0286975717439294,0.431896071220312,0.610793281455421,0.419390876234423,52.8700992255566
UPS15,0.0274509803921569,0.438357003759605,0.619930419878067,0.423305015617361,49.27065351418
UPS06,0.0269151138716356,0.418268143857061,0.591520481751277,0.415039230670289,48.3
UPS05,0.025844930417495,0.409868329727631,0.579641350688023,0.412332156165885,53.0944444444444
UPS08,0.0222222222222222,0.380058475033046,0.53748384988657,0.40255894724282,33.2787127061902
UPS12,0.0229885057471264,0.371390676354104,0.52522573143889,0.397097898680297,48.2984536082474
UPS07,0.0285714285714286,0.430945803685667,0.609449400220044,0.419089005302161,40.1260303967027
UPS03,0.0300429184549356,0.458585247456293,0.648537476456911,0.429521093073356,55.2647689153932
UPS01,0.0255402750491159,0.407445441524695,0.576214869331317,0.411547653610621,48.8165501824349
UPS02,0.0279569892473118,0.426286793259569,0.602860564488219,0.417605623034504,55.6081003336785
UPS09,0.0261569416498994,0.412334961802108,0.583129695221134,0.413129123791434,42.280131531854
UPS13,0.0245183887915937,0.414280969320528,0.585881765446162,0.415770522721464,43.9230769230769
UPS14,0.0217755443886097,0.376219402112601,0.532054580895538,0.401280134263217,38.2734081261371
UPS10,0.0203045685279188,0.34903783629789,0.493614041873836,0.389372968918336,36.8422651933702
OCM11,0.0271493212669683,0.403603676397788,0.570781792985393,0.407942905203243,31.9206488382289
OCM20,0.0255402750491159,0.407445441524695,0.576214869331317,0.411547653610621,44.535763035763
OCM01,0.0238500851788756,0.408595883792445,0.577841840389097,0.413968165489655,45.6317560277009
OCM10,0.025440313111546,0.406647310608405,0.575086141764952,0.411288862913231,37.4639659803044
OCM06,0.0234234234234234,0.390195146371982,0.551819267971412,0.405912691960209,50.0876566714263
OCM16,0.0197368421052632,0.344123600805843,0.486664263392288,0.387650367664511,38.6
OCM12,0.022108843537415,0.379087698287873,0.53611096424751,0.402236034005939,36.75
OCM15,0.0226843100189036,0.368925277140807,0.521739130434783,0.396254382668609,46.8057431611681
OCM17,0.0274509803921569,0.438357003759605,0.619930419878067,0.423305015617361,44.8804746117606
OCM05,0.0213114754098361,0.372188917304014,0.526354614616295,0.399932294662162,38.9080518594336
OCM07,0.0225303292894281,0.382684126116151,0.541197081258357,0.403430794590989,53.0751908396947
OCM03,0.0228471001757469,0.385364958373689,0.544988350595414,0.404318679094837,40.8761075312122
OCM14,0.0220713073005093,0.378765755386242,0.535655668229714,0.402128876874942,32.7222222222222
OCM02,0.0268595041322314,0.417835825246596,0.590909090909091,0.414900376841283,38.1694550892607
OCM09,0.0255474452554745,0.422885465331124,0.598050360401733,0.418481149257354,43.9102564102564
