ID,DISC_RefExprPronounsPerNoun,DISC_RefExprPronounsPerSen,DISC_RefExprPronounsPerWord,DISC_RefExprPerPronounsPerSen,DISC_RefExprPerProPerWord,DISC_RefExprPossProPerSen,DISC_RefExprPossProPerWord,DISC_RefExprDefArtPerSen,DISC_RefExprDefArtPerWord,DISC_RefExprProperNounsPerNoun
UPS13,0.182795698924731,0.772727272727273,0.0297723292469352,0.772727272727273,0.0297723292469352,0,0,0,0,0.043010752688172
UPS14,0.2,0.586206896551724,0.0284757118927973,0.586206896551724,0.0284757118927973,0,0,0,0,0.0588235294117647
UPS10,0.169811320754717,0.692307692307692,0.0304568527918782,0.692307692307692,0.0304568527918782,0,0,0,0,0.0094339622641509
OCM11,0.333333333333333,0.581395348837209,0.0565610859728507,0.581395348837209,0.0565610859728507,0,0,0,0,0.0533333333333333
OCM20,0.150684931506849,0.5,0.0216110019646365,0.5,0.0216110019646365,0,0,0,0,0.191780821917808
OCM01,0.144329896907216,0.341463414634146,0.0238500851788756,0.341463414634146,0.0238500851788756,0,0,0,0,0.0721649484536082
OCM10,0.112244897959184,0.44,0.0215264187866928,0.44,0.0215264187866928,0,0,0,0,0.0102040816326531
OCM06,0.147727272727273,0.361111111111111,0.0234234234234234,0.361111111111111,0.0234234234234234,0,0,0,0,0.147727272727273
OCM16,0.0975609756097561,0.266666666666667,0.0131578947368421,0.266666666666667,0.0131578947368421,0,0,0,0,0
OCM12,0.106870229007634,0.482758620689655,0.0238095238095238,0.482758620689655,0.0238095238095238,0,0,0,0,0.0229007633587786
OCM15,0.136842105263158,0.52,0.0245746691871456,0.52,0.0245746691871456,0,0,0,0,0.0315789473684211
OCM17,0.0720720720720721,0.210526315789474,0.0156862745098039,0.210526315789474,0.0156862745098039,0,0,0,0,0
OCM05,0.132075471698113,0.285714285714286,0.0229508196721311,0.285714285714286,0.0229508196721311,0,0,0,0,0.179245283018868
OCM07,0.0660377358490566,0.241379310344828,0.0121317157712305,0.241379310344828,0.0121317157712305,0,0,0,0,0.0377358490566038
OCM03,0.0917431192660551,0.3125,0.0175746924428823,0.3125,0.0175746924428823,0,0,0,0,0.0825688073394496
OCM14,0.154545454545455,0.5,0.0288624787775891,0.5,0.0288624787775891,0,0,0,0,0.0818181818181818
OCM02,0.0531914893617021,0.142857142857143,0.0103305785123967,0.142857142857143,0.0103305785123967,0,0,0,0,0.0957446808510638
OCM09,0.272727272727273,0.636363636363636,0.0383211678832117,0.636363636363636,0.0383211678832117,0,0,0,0,0.25974025974026
OCM18,0.207920792079208,0.777777777777778,0.0382513661202186,0.777777777777778,0.0382513661202186,0,0,0,0,0.0495049504950495
OCM04,0.340659340659341,0.96875,0.056672760511883,0.96875,0.056672760511883,0,0,0,0,0.032967032967033
OCM13,0.2,0.407407407407407,0.0279187817258883,0.407407407407407,0.0279187817258883,0,0,0,0,0.145454545454545
OCM19,0.166666666666667,0.551724137931035,0.027027027027027,0.551724137931035,0.027027027027027,0,0,0,0,0.0520833333333333
OCM08,0.220779220779221,0.739130434782609,0.0357142857142857,0.739130434782609,0.0357142857142857,0,0,0,0,0.103896103896104
BOD07,0.202247191011236,0.545454545454545,0.0310880829015544,0.545454545454545,0.0310880829015544,0,0,0,0,0.0449438202247191
BOD04,0.13953488372093,0.444444444444444,0.0222222222222222,0.444444444444444,0.0222222222222222,0,0,0,0,0.116279069767442
BOD09,0.154639175257732,0.555555555555556,0.0266903914590747,0.555555555555556,0.0266903914590747,0,0,0,0,0.0927835051546392
BOD12,0.0707964601769912,0.32,0.0134228187919463,0.32,0.0134228187919463,0,0,0,0,0.0353982300884956
BOD15,0.153846153846154,0.444444444444444,0.0242792109256449,0.444444444444444,0.0242792109256449,0,0,0,0,0.0865384615384615
BOD11,0.219512195121951,0.642857142857143,0.036144578313253,0.642857142857143,0.036144578313253,0,0,0,0,0.121951219512195
BOD16,0.0810810810810811,0.191489361702128,0.0161001788908766,0.191489361702128,0.0161001788908766,0,0,0,0,0.0990990990990991
BOD03,0.197674418604651,0.586206896551724,0.0367965367965368,0.586206896551724,0.0367965367965368,0,0,0,0,0.13953488372093
BOD14,0.173913043478261,0.64,0.0288288288288288,0.64,0.0288288288288288,0,0,0,0,0.130434782608696
BOD02,0.180722891566265,0.416666666666667,0.0303643724696356,0.416666666666667,0.0303643724696356,0,0,0,0,0.0602409638554217
BOD13,0.0357142857142857,0.16,0.0079522862823061,0.16,0.0079522862823061,0,0,0,0,0.116071428571429
BOD05,0.189189189189189,0.538461538461538,0.037567084078712,0.538461538461538,0.037567084078712,0,0,0,0,0.0540540540540541
BOD10,0.170454545454545,0.789473684210526,0.0294117647058824,0.789473684210526,0.0294117647058824,0,0,0,0,0.0909090909090909
BOD08,0.185714285714286,0.333333333333333,0.0292792792792793,0.333333333333333,0.0292792792792793,0,0,0,0,0.157142857142857
BOD06,0.15929203539823,0.529411764705882,0.0357852882703777,0.529411764705882,0.0357852882703777,0,0,0,0,0.0619469026548673
BOD01,0.0802919708029197,0.305555555555556,0.0190641247833622,0.305555555555556,0.0190641247833622,0,0,0,0,0.0583941605839416
UPL01,0.0666666666666667,0.3,0.0138568129330254,0.3,0.0138568129330254,0,0,0,0,0.0222222222222222
UPL02,0.228260869565217,0.636363636363636,0.0364583333333333,0.636363636363636,0.0364583333333333,0,0,0,0,0.108695652173913
LOR02,0.113207547169811,0.48,0.0245398773006135,0.48,0.0245398773006135,0,0,0,0,0.0660377358490566
LOR08,0.142857142857143,0.576923076923077,0.0278293135435993,0.576923076923077,0.0278293135435993,0,0,0,0,0.0285714285714286
LOR01,0.131578947368421,0.454545454545455,0.0259965337954939,0.454545454545455,0.0259965337954939,0,0,0,0,0.0263157894736842
LOR07,0.102040816326531,0.344827586206897,0.0202429149797571,0.344827586206897,0.0202429149797571,0,0,0,0,0.0510204081632653
LOR03,0.365591397849462,0.971428571428571,0.0588235294117647,0.971428571428571,0.0588235294117647,0,0,0,0,0.032258064516129
LOR09,0.126436781609195,0.458333333333333,0.0243362831858407,0.458333333333333,0.0243362831858407,0,0,0,0,0.137931034482759
LOR04,0.192771084337349,0.727272727272727,0.0294117647058824,0.727272727272727,0.0294117647058824,0,0,0,0,0.0963855421686747
LOR10,0.100917431192661,0.423076923076923,0.020109689213894,0.423076923076923,0.020109689213894,0,0,0,0,0.0458715596330275
LOR05,0.0824742268041237,0.444444444444444,0.0152380952380952,0.444444444444444,0.0152380952380952,0,0,0,0,0.0206185567010309
LOR06,0.102272727272727,0.45,0.0202247191011236,0.45,0.0202247191011236,0,0,0,0,0.0909090909090909
AMU02,0.156626506024096,0.619047619047619,0.0287610619469027,0.619047619047619,0.0287610619469027,0,0,0,0,0.108433734939759
